sample_id,replicate,start_quant,std_type,dilution,bd_load
RKS14301,1,0,genomic,1,0
RKS15541,1,330.12,genomic,1,1584576
RKS3560,1,10.12,genomic,1,48575.99999999999
SFZ2311,1,0,genomic,1,0
RKS10287,1,2.49,genomic,1,11952.000000000002
USGS1748,1,0.05,genomic,1,240
RKS20722,1,0,gblock,1,0
RKS2428,2,1.18,genomic,1,5664
RKS15574,2,0,genomic,1,0
RKS13623,1,0,genomic,1,0
RKS3734,2,4.52,genomic,1,21695.999999999996
OAZ1504,1,0,gblock,1,0
RKS6691,1,0.04,genomic,1,192
MBJ006,1,0,genomic,1,0
RKS1994,2,0.05,genomic,1,240
RKS9531,1,0.48,genomic,1,2304
DESO1583,1,0.98,genomic,1,4704
RKS18741,2,324221,gblock,1,25937680
SFZ1602,1,0,genomic,1,0
RKS4301,1,0,genomic,1,0
RKS18145,1,0.3,genomic,1,1440
RKS20552,1,0,gblock,1,0
RKS12749,1,0,genomic,1,0
RKS16911,1,0,genomic,1,0
DESO2759,1,0.8337,genomic,1,4001.76
RKS7568,1,0.54,genomic,1,2592
RKS3956,1,0.86,genomic,1,4128
RKS2410,3,2.89,genomic,1,13872
RKS2517,2,2.03,genomic,1,9743.999999999998
RKS2451,3,0.16,genomic,1,768
RKS10838,1,0.01,genomic,1,48
DESO2351,1,0.03,genomic,1,144
RKS17884,1,0.5815,genomic,1,2791.2
RKS7126,1,0,genomic,1,0
RKS6599,1,0.17,genomic,1,816.0000000000001
RKS12209,1,0.23,genomic,1,1104
RKS9287,1,6.6,genomic,1,31680
RKS11049,1,124.57,genomic,1,597936
